site_number	 element 	 time 	 value 	 unit 
01549700	Ca	2011-11-09 12:45:00	179.649683118	mmol/L
01549700	Ca	2011-12-13 13:15:00	172.164279655	mmol/L
01549700	Ca	2012-01-24 11:30:00	169.669145167	mmol/L
01549700	Ca	2012-02-22 12:30:00	222.06696941	mmol/L
01549700	Ca	2012-03-27 13:00:00	204.601027995	mmol/L
01549700	Ca	2012-04-24 09:45:00	244.523179799	mmol/L
01549700	Ca	2012-04-25 11:30:00	259.493986726	mmol/L
01549700	Ca	2012-05-16 12:30:00	167.174010679	mmol/L
01549700	Ca	2012-06-05 08:45:00	214.581565946	mmol/L
01549700	Ca	2012-06-26 12:15:00	259.493986726	mmol/L
01549700	Ca	2012-07-24 11:45:00	349.318828285	mmol/L
01549700	Ca	2012-08-22 13:45:00	314.386945456	mmol/L
01549700	Ca	2012-09-08 08:00:00	286.940466091	mmol/L
01549700	Ca	2012-09-08 09:00:00	281.950197116	mmol/L
01549700	Ca	2012-09-18 09:45:00	336.843155846	mmol/L
01549700	Ca	2012-10-16 10:30:00	331.852886871	mmol/L
01549700	Ca	2012-10-31 15:00:00	169.669145167	mmol/L
01549700	Ca	2012-11-01 10:00:00	174.659414142	mmol/L
01549700	Ca	2012-11-27 12:30:00	222.06696941	mmol/L
01549700	Ca	2012-12-12 14:00:00	217.076700434	mmol/L
01549700	Ca	2013-01-15 11:15:00	162.183741704	mmol/L
01549700	Ca	2013-01-17 14:15:00	169.669145167	mmol/L
01549700	Ca	2013-02-28 10:45:00	219.571834922	mmol/L
01549700	Ca	2013-03-14 08:45:00	149.708069265	mmol/L
01549700	Ca	2013-03-20 10:30:00	162.183741704	mmol/L
01549700	Ca	2013-04-15 09:45:00	142.222665802	mmol/L
01549700	Ca	2013-04-24 12:45:00	182.144817606	mmol/L
01549700	Ca	2013-05-28 10:15:00	214.581565946	mmol/L
01549700	Ca	2013-06-11 08:15:00	239.532910824	mmol/L
01549700	Ca	2013-06-26 08:30:00	247.018314287	mmol/L
01549700	Ca	2013-07-15 12:45:00	139.727531314	mmol/L
01549700	Ca	2013-08-21 10:15:00	354.30909726	mmol/L
01549700	Ca	2013-09-23 14:00:00	339.338290334	mmol/L
01549700	Ca	2013-12-23 12:00:00	154.69833824	mmol/L
01549700	Ca	2014-03-25 08:00:00	187.135086581	mmol/L
01549700	Ca	2014-04-15 11:30:00	172.164279655	mmol/L
01549700	Ca	2014-04-16 09:00:00	189.630221069	mmol/L
01549700	Ca	2014-04-17 08:00:00	172.164279655	mmol/L
01549700	Ca	2014-04-30 19:30:00	214.581565946	mmol/L
01549700	Ca	2014-05-01 08:00:00	222.06696941	mmol/L
01549700	Ca	2014-05-13 13:45:00	214.581565946	mmol/L
01549700	Ca	2014-05-16 09:00:00	212.086431459	mmol/L
01549700	Ca	2014-06-26 08:45:00	306.901541993	mmol/L
01549700	Ca	2014-06-26 09:00:00	301.911273018	mmol/L
03036240	Ca	2006-03-13 11:00:00	376.76530765	mmol/L
03036240	Ca	2006-04-20 12:45:00	551.424721793	mmol/L
03036240	Ca	2006-05-17 10:30:00	401.716652528	mmol/L
